Table,Manufacturer,Year,Author,VPW/toolkit,Download,VPS-ID,Date added,Vouched for by,Confidence,"Notes, comments",Comp. Corner,C.C. last played,Rules/Instruction Cards,Tutorials
Robot ,Zaccaria,1985,Wylte,,Robot (Zaccaria 1985) - VPX - Pinball Tables,ihSQRtLMOc,28/06/2023,PinStratsDan,Full,,,12/06/2023,Robot (1985),Robot Pinball Tutorial & Gameplay (Zaccaria 1984)
Rollercoaster Tycoon ,Stern,2002,VPW,,RollerCoaster Tycoon (Stern 2002) VPW - VPX - Pinball Tables,pdR76ona5F,22/09/2023,PinStratsDan,Full,,,13/11/2023,rollercoaster tycoon review,https://youtu.be/bO4e4XCbB74?si=ftvJb-SPZMoL549A
Scared Stiff ,Bally,1996,VPW,,Scared Stiff (Bally 1996) - VPX - Pinball Tables,D2CIdBZ8aL,28/06/2023,DGrimmReaper,Full,,,27/10/2025,Pinball Archive Rule Sheet: Scared Stiff,No Skeletons in Our Closet: The Ultimate Guide to Bally's Scared Stiff Pinball
Seawitch ,Stern,1980,Bord,,Seawitch (Stern 1980) [bord] - VPX - Pinball Tables,9f7hh91z,28/06/2023,PinStratsDan,Full,,,04/04/2022,Seawitch (1980),Stern Seawitch (1980) Pinball Tutorial
Secret Agent,Original,2024,Wizball,,Secret Agent (Original 2024) v1.0 - VPX - Pinball Tables - Virtual Pinball Universe,IFaNlY_dl5,02/12/2024,Donkeyklonk,Full,,,02/12/2024,in the download,
Shrek,Stern,2008,PaladinArcade,,Shrek (Stern 2008)(MOD) 1.0 - VPX - Pinball Tables,DBFRpPt3yZ,01/07/2023,PinStratsDan,Full,,,16/10/2022,Pinball Archive Rule Sheet: Shrek,
Skateball,Bally,1980,VPW,,Skateball (Bally 1980) VPW - VPX - Pinball Tables,M8mE81dZAv,24/09/2024,Laef,Full,,,21/07/2025,Skateball - Pinball Rules,Bally Skateball Pinball Rules - YouTube
Solar Fire ,Williams,1981,UnclePaulie,,Solar Fire (Williams 1981) w VR Room - VPX - Pinball Tables,ca_SduCCTT,28/06/2023,PinStratsDan,Full,,,12/09/2022,GameArchive: Solar Fire Instruction Booklet,
Sorcerer ,Williams,1985,UnclePaulie,,Sorcerer (Williams 1985) w VR Room - VPX - Pinball Tables,nVudvtnA,28/06/2023,PinStratsDan,Full,,,01/04/2024,Sorcerer (1985),
Space Riders,Atari,1978,Thalamus,,Space Riders (Atari 1978)10zip/,gcoCsFkPXu,06/05/2025,SmedleyBumblechuck,Full,Rollover 1 M,,05/05/2025,https://www.datocms-assets.com/137938/1745248638-doc1583-sc.jpg?fit=max&w=800&h=600,
Space Shuttle ,Williams,1984,Bord,,Space Shuttle (Williams 1984) - VPX - Pinball Tables,hJhqnLyr,28/06/2023,den_laef,Full,,,19/08/2024,Mark's Pinball Page - Space Shuttle Rule Sheet,
Space Station,Williams,1987,VPW,,Space Station (Williams 1987) ,rlLLcfXq2_,05/12/2024,Jutsuka,Full,,,12/01/2026,Space Station - Pinball Archive Rule Sheet,Rules & Strategies
Special Force,Bally,1986,VPW,,Special Force (Bally Midway 1986) VPW - VPX - Pinball Tables,MEO0gDngcT,09/03/2024,Colvert,Full,,,08/04/2024,Special Force (1986),Special Force (Bally 1986) - VPX Instruction Video
Spectrum,Bally,1981,VPW,,Spectrum (Bally 1981) VPW - VPX - Pinball Tables,OKzEyUQgkS,30/06/2024,BallMRK,Full,,,10/11/2025,Spectrum - Rule Sheet - Pinball - By DMowczan - GameFAQs,Spectrum (Bally 1981) - VPX Video Instruction
Spider-Man Vault Edition,Stern,2016,VPW,,Spider-Man Vault Edition : Siggi's Mod (Stern 2016) VPW Mod - VPX - Pinball Tables,A_CodyKoS7,01/07/2023,Colvert,Full,,,08/08/2022,Spider-Man Rulesheet WIP,"Go get 'em, Tiger! Mastering Stern's Spider-Man Pinball Machine"
SpongeBob's Bikini Bottom Pinball,Original,2023,VPW,,SpongeBob's Bikini Bottom Pinball VPW - VPX,hTwgaH56vw,30/06/2024,Czar,Full,,,30/06/2025,,SpongeBob's Bikini Bottom tutorial
Stargate,Gottlieb,1995,VPW,,Stargate - VPX - Pinball Tables - Virtual Pinball Universe,X590HVZs48,25/09/2025,S0l1dxsnake,Full,,,20/10/2025,Stargate (1995),Stargate Pinball Tutorial & Gameplay
Stargod,Zaccaria,1980,RetroRitchie,,Star God (Zaccaria 1980) - VPX - Pinball Tables,X_d2jKIMH_,18/09/2024,Ballmrk,Full,,,16/09/2024,Star God (1980),
Star Trek,Bally,1979,Rothbauerw,,Star Trek - VPX - Pinball Tables,52WOCBKf,12/09/2023,Studlygoorite,Full,,,,Star Trek Rules,Star Trek Pinball Tutorial
Star Trek The Next Generation ,Williams,1993,VPW,,Star Trek The Next Generation (Williams 1993) VPW Mod - VPX - Pinball Tables,t6AxPZxsNk,28/06/2023,Den_laef,Full,,,11/11/2024,Pinball Archive Rule Sheet: Star Trek: the Next Generation,Star Trek Next Generation Pinball Tutorial
Star Wars ,Data East,1992,VPW,,Star Wars (Data East 1992) VPW - VPX - Pinball Tables,tgFo6ils,28/06/2023,PinStratsDan,Full,,,,Pinball Archive Rule Sheet: Star Wars,
Star Wars Bounty Hunter ,Original,2021,Tartzani,,StarWars Bountyhunter - VPX - Pinball Tables,Ba357hhX,28/06/2023,PinStratsDan,Full,,,18/03/2024,Star Wars BountyHunter Instruction Card - Instruction Cards - Virtual Pinball Universe,
Stars ,Bally,1978,Bord,,Stars (Stern 1978) [SK-1] - VPX - Pinball Tables,_onCD2Vm,28/06/2023,PinStratsDan,Full,,,26/12/2022,Stars (1978),Stars Pinball Tutorial
Starship Troopers ,Sega,1997,VPW,,Starship Troopers (Sega 1997) VPW Mod - VPX - Pinball Tables,DbFuVTNKWt,28/06/2023,PinStratsDan,Full,,,01/05/2023,Pinball Archive Rule Sheet: Starship Troopers,"""Starship Troopers"" Virtual Pinball Table Tutorial"
Stellar Wars ,Williams,1979,Bord,,Stellar Wars (Williams 1979) - VPX - Pinball Tables,5_DerfzgwJ,28/06/2023,PinStratsDan,Full,,,16/05/2022,Pinball Archive Rule Sheet: Stellar Wars,
Stingray,Stern,1977,Bord,,Stingray (Stern 1977) - VPX - Pinball Tables,w5_IkLd0,01/07/2023,Mikepmcs,Full,,,25/11/2024,Stingray - Pinball Rules,Let's head under the Sea for a full Tutorial of Stingray!
Street Fighter II,Gottlieb,1983,VPW,,Street Fighter II (Gottlieb 1993) VPW - VPX - Pinball Tables,bp1bwDPjvO,08/10/2024,Primetime5k,Full,Rollover,,03/03/2025,Pinball Archive Rule Sheet: Street Fighter II,Street Fighter 2 Tutorial
Strikes and Spares ,Bally,1978,HiRez00,,Strikes and Spares (Bally 1978) 2.0 + Extras - VPX - Pinball Tables,0j5X3VbYoD,29/06/2023,HayJay,Full,,,,Strikes and Spares (1978),90 Second Pinball Tutorials -1978 Bally Strikes
Superman ,Atari,1979,Goldchicco,,Superman (Atari 1979) - VPX - Pinball Tables,VS5jOXLG,28/06/2023,PinStratsDan,Full,,,,Superman (1979),
Swords of Fury ,Williams,1988,Bord,,Swords of Fury (Williams 1988) - VPX - Pinball Tables,T0IHdM4dhw,28/06/2023,PinStratsDan,Full,,,10/07/2023,Swords of Fury - Rule Sheet - Pinball - By BElmore - GameFAQs,
Tales from the Crypt Premium,Data East,1993,VPW,,Tales From The Crypt VPW Premium (Data East 1993) - VPX - Pinball Tables,uVgZUZdK,28/06/2023,Jutsuka,Full,,,14/10/2024,Pinball Archive Rule Sheet: Tales from the Crypt,Tales from the Crypt (Data East 1993) - VPX Video Instruction
Tales of the Arabian Nights ,Williams,1996,Flupper1,,Tales of the Arabian Nights 4k Williams 1996 - VPX - Pinball Tables,CcCVZe1b,28/06/2023,Emb417,Full,,,27/01/2025,Pinball Archive Rule Sheet: Tales of the Arabian Nights,Tales of Arabian Nights Pinball Tutorial
Taxi ,Williams,1988,VPW,,Taxi (Williams 1988) VPW Mod - VPX - Pinball Tables,xJaND09W,28/06/2023,PinStratsDan,Full,,,30/08/2021,Pinball Archive Rule Sheet: Taxi,Taxi Pinball Tutorial
Tee'd Off ,Gottlieb,1993,Rothbauerw,,Tee'd Off (Gottlieb 1993) - VPX - Pinball Tables,P8VZtnGS,28/06/2023,PinStratsDan,Full,,,07/02/2022,Pinball Archive Rule Sheet: Tee'd Off,Tee'd Off Pinball Tutorial & Gameplay (Gottlieb  1993)
Terminator 2,Williams,1991,G5K,,Terminator 2 (Williams 1991) g5k - VPX - Pinball Tables,3a3JZPkj,01/07/2023,Wolfanoz,Full,,,23/12/2024,Pinball Archive Rule Sheet: Terminator 2: Judgment Day,Terminator 2 Pinball Tutorial
Time Fantasy,Williams,1983,VPW,,Time Fantasy (Williams 1983) VPW - VPX - Pinball Tables,2Sq1Rs4qMK,17/11/2025,DGrimmReaper,Full,,,17/11/2025,,
Time Lord,Original,2023,RusstyT,,TimeLord 4.1a (Luigi Rides Again) OriginalHybrid - VPX - Pinball Tables,DunzEHV9tw,29/09/2025,Emb417,Full,,,29/09/2025,,
The Addams Family,Bally,1992,G5K,,The Addams Family (Bally 1992) - VPX - Pinball Tables,Wq40ng8f,01/07/2023,HayJay,Full,,,03/04/2023,Pinball Archive Rule Sheet: The Addams Family,Addams Family Pinball Tutorial!
The Avengers Pro,Stern,2012,TastyWasps,,Avengers Pro (Stern 2012) - VPX - Pinball Tables,HCkwtrxM14,18/08/2023,Colvert,Full,,,,Hello and welcome to our In-Depth Review of Stern's latest game - The Avengers.,
The Blizzard of Ozz,Original,2025,ZandysArcade,,The Blizzard of Ozz - VPX - Pinball Tables,ecjSchd5Od,25/11/2025,Colvert,Full,,,24/11/2025,,
The Flintstones,Williams,1994,G5K,,The Flintstones,GHGA3K52,02/07/2023,Ballmrk,Full,Stock physics ?,,17/03/2025,Pinball Archive Rule Sheet: Flintstones,The Flintstones Pinball Tutorial
The Fog,Gottlieb,1979,HiRez00,,The Fog (Gottlieb 1979) Complete VPX Package - VPForums.org,SjrvM_f1,29/06/2023,HayJay,Full,,,03/01/2022,,
The Games,Gottlieb,1984,UnclePaulie,,The Games (Gottlieb 1984) - VPX - Pinball Tables - Virtual Pinball Universe,lIC_NgD9Fe,27/05/2025,Ballmrk,Full,,,27/05/2025,The Games (1984),"""The Games"" - a Virtual Pinball Tutorial"
The Goonies Never Say Die ,Original,2021,VPW,,The Goonies Never Say Die Pinball (VPW) - VPX,RJ5FwXlX,28/06/2023,BecauseReasons,Full,,,28/10/2024,The Goonies Never Say Die (Original 2021) - VPX Instructions - Instruction Cards - Virtual Pinball Universe,The Goonies Never Say Die Pinball (VPW 2021) - VPX Video Instruction
The Lord of the Rings Valinor Edition ,Stern,2003,VPW,,Lord of the Rings Valinor Edition (Stern 2003) VPW - VPX - Pinball Tables,ulolpyXq,28/06/2023,S0l1dxsnake,Full,,,02/09/2024,Lord of the Rings,VPX Pinball Tutorial: Lord of the Rings VE (Stern 2003)
The Machine: Bride of PinBot ,Williams,1991,VPW,,The Machine (Bride of Pinbot) Williams 1991 VPW mod - VPX - Pinball Tables,VhDvT01O7u,28/06/2023,PinStratsDan,Full,,,,Pinball Archive Rule Sheet: The Machine: Bride of Pinbot,Bride of Pinbot Pinball Tutorial
The Simpsons Pinball Party ,Stern,2003,VPW,,Simpsons Pinball Party (Stern 2003) VPW Mod - VPX,YOCIdisChN,28/06/2023,Ouattedephoque,Full,,,09/09/2024,tspp rulesheet,The Simpsons Pinball Party Rules & Gameplay Tutorial [Advanced Guide] | Kineticist
The Sopranos,Stern,2005,TastyWasps,,The Sopranos (Stern 2005) - VPX - Pinball Tables,5jnFSQuhWj,16/10/2025,PinStratsDan,Full,,,,"The Sopranos (Stern Pinball, 2005)",The Sopranos Pinball Tutorial
The Walking Dead,Stern,2014,Flupper,,The Walking Dead LE/Premium 4K (Stern 2014) - VPX - Pinball Tables,L3Q6Y_J654,06/05/2025,Ballmrk,Full,,,12/05/2025,https://tiltforums.com/t/walking-dead-wiki-rulesheet/122,TunaTorial: The Walking Dead Premium Pinball Tutorial - YouTube
The Who's Tommy Pinball Wizard ,Data East,1994,VPW,,The Who's Tommy Pinball Wizard (Data East 1994) VPWMod - VPX,T8COSpvkl-,28/06/2023,PinStratsDan,Full,,,25/07/2022,Pinball Archive Rule Sheet: The Who's Tommy,Tommy Pinball Tutorial
The X Files,Sega,1997,TastyWasps,,The X Files (Sega 1997) - VPX - Pinball Tables,ZA6P_nOSzT,29/06/2023,HayJay,Medium,,,24/07/2023,Pinball Archive Rule Sheet: X-Files,"""X-Files"" - a Virtual Pinball Tutorial & Playthrough"
Theatre of Magic,Bally,1995,Fleep,,Theatre of Magic (Bally 1995) 2.4 - VPForums.org,3cxF1Bss,29/06/2023,HayJay,Full,,,15/03/2021,Pinball Archive Rule Sheet: Theatre of Magic,Theatre of Magic Pinball Tutorial
ThunderCats Pinball ,Original,2023,MerlinRTP,,Thundercats Pinball,xhpcI1231-,28/06/2023,PinStratsDan,Full,,,,Thundercats (Original 2023) - VPX Instructions - Instruction Cards - Virtual Pinball Universe,
Time Fantasy,Williams,1983,VPW,,Time Fantasy (Williams 1983) VPW - VPX - Pinball Tables - Virtual Pinball Universe,2Sq1Rs4qMK,17/11/2025,Colvert,Full,,,17/11/2025,https://pinballprimer.github.io/timefantasy_G42Nz.html,
TimeLord 3.0,Original,2023,Avago,,TimeLord 3.0.5 (Luigi Saves the Universe) OriginalHybrid - VPX - Pinball Tables,vWT8GLvKPS,29/06/2023,HayJay,Medium,,,28/09/2025,TimeLord2.0 VPX visual pinball & major gameplays and overview,TimeLord!!! An Original Pinball GEM You Don't Want to Miss!
Tom and Jerry,Original,2022,Gedankekojote97,,Tom and Jerry mod nfozzy fleep sounds,GVDJWJHyK0,02/07/2023,HayJay,Medium,,,,in the download ,
Total Nuclear Annihilation ,Spooky,2017,VPW,,Total Nuclear Annihilation (Spooky 2017) VPW - VPX - Pinball Tables,d56VntTvLS,28/06/2023,Grndshkr,Full,,,24/03/2025,Total Nuclear Annihilation Rulesheet,Total Nuclear Annihilation Pinball Tutorial
Transformers Pro,Stern,2011,RobbyKingPin,,Transformers Pro (Stern 2011) v.2.0.1 with VR Room,uyJ5RDRCu6,22/08/2023,mikepmcs,Full,,,01/06/2024,"Now we'll examine at the rules, see how the game plays and then give our opinions and ratings for the various elements which go to make up Transformers.",Transformers Pinball Tutorial
Transporter the Rescue ,Bally,1989,VPW,,Transporter The Rescue (Bally 1989) VPW - VPX - Pinball Tables,K5y6-Rv_,28/06/2023,PinStratsDan,Full,,,19/06/2023,Pinball Archive Rule Sheet: Transporter: The Rescue,Transporter the Rescue Pinball Tutorial & Gameplay (Bally 1989)
Tron Legacy LE ,Stern,2011,VPW,,Tron Legacy LE (Stern 2011) VPW Mod - VPX - Pinball Tables,EbbcvZL7,28/06/2023,stubborngamer,Full,,,12/08/2024,tron legacy,Tron Legacy Pinball Tutorial
Truck Stop,Bally ,1988,MechaEnron,,Truck Stop (Bally 1988) - VPX - Pinball Tables - Virtual Pinball Universe,20CA2DVuf9,08/07/2025,Colvert,Full,,,,Truck Stop (1988),Truck Stop Pinball Tutorial: Navigating Bally's 1988
Twilight Zone ,Bally,1993,VPW,,Twilight Zone (Bally 1993) VPW Edition - VPX - Pinball Tables,bgnmeH-lBI,03/08/2024,stubborngamer,Full,,,29/07/2024,Twilight Zone (Bally 1993) - VPX Video Instruction,Twilight Zone Pinball Tutorial
Twister ,Sega,1996,UnclePaulie,,Twister (Sega 1996) with VR Room - VPX - Pinball Tables,_qAbKN6v,28/06/2023,PinStratsDan,Full,,,10/10/2022,Pinball Archive Rule Sheet: Twister,
TX-Sector,Gottlieb,1988,SG1bsoN,,TX-Sector Gottlieb 1988 sg1bson mod,SDsQSeU93e,28/06/2023,Ruby/Empie,Full,,,15/12/2025,TX-Sector,TX Sector Pinball Tutorial
Vector,Bally ,1982,Mecha_Enron,,Vector (Bally 1982) - VPX - Pinball Tables,LRKatp8vRL,28/01/2026,s0l1dxsnake,Full,,,26/01/2026,https://www.pinball.org/rules/vector.html,https://pinballprimer.github.io/vector_G486B.html
Volkan Steel and Metal,Original,2023,OneVox,,Volkan Steel and Metal (Original 2023) - VPX - Pinball Tables,qIOgOh8WTt,03/09/2023,Ed209,Full,,,29/12/2025,in the download ,
Voodoo's Carnival Pinball ,Original,2022,kcron666,,VooDoo's Carnival pinball,yTl763VWR7,28/06/2023,PinStratsDan,Full,,,30/05/2022,in the download ,
Wacky Races ,Original,2022,Remdwaas1986,,Wacky races - VPX - Pinball Tables,rWZlUIAfOh,28/06/2023,PinStratsDan,Full,,,12/02/2024,in the download ,
Warlok,Williams,1982,VPW,,Warlok (Williams 1982) VPW - VPX - Pinball Tables - Virtual Pinball Universe,H27e9-W4p4,03/12/2024,Jutsuka,Full,,,13/01/2025,Warlok - Pinball Rules,Williams - Warlok (1982)
Watchmen ,Original,2019,Wizball,,Watchmen (Original 2019) - VPX - Pinball Tables,luERq-1Q,28/06/2023,Ed209,Full,,,03/02/2025,in the download ,
Whirlwind ,Williams,1990,Flupper1,,Whirlwind 4K - VPForums.org,ZX39Pet3,28/06/2023,PinStratsDan,Full,,,12/12/2022,Pinball Archive Rule Sheet: Whirlwind,Whirlwind Pinball Tutorial
White Water,Williams,1993,Flupper1,,White Water (Williams 1993) v.1.2 - VPX - Pinball Tables - Virtual Pinball Universe,--fspsKJ,01/07/2023,HayJay,Full,,,14/03/2022,Pinball Archive Rule Sheet: Whitewater,Whitewater Pinball Tutorial & Gameplay (Williams 1993)
Who Dunnit 1947,Bally,1995,Bord,,Who Dunnit 1947 (Bally 2021) - VPX - Pinball Tables,EB649DTu,30/06/2023,PinStratsDan,Full,Midnight Madness mode,,22/02/2021,Pinball Archive Rule Sheet: WhoDunnit?,WHO dunnit? Pinball Tutorial and Playthrough - 20 billion
World Cup Soccer,Bally,1994,VPW,,World Cup Soccer (Bally 1994) - VPX - Pinball Tables,x8o6jTGv,02/07/2023,Lminimart,Full,,,18/08/2025,Pinball Archive Rule Sheet: World Cup Soccer,World Cup Soccer Pinball Tutorial
World Poker Tour,Stern,2006,RobbyKingPin,,World Poker Tour (Stern 2006) - Modified (MOD) Games - Virtual Pinball Universe,eexsQAY9Wd,04/08/2025,Lminimart,Full,,,04/08/2025,,
WWF Royal Rumble ,Data East,1994,Hauntfreaks,,WWF Royal Rumble (Data East 1994) DT/FS/VR - VPX - Pinball Tables,YmyJ5oTJ,28/06/2023,PinStratsDan,Full,,,,Pinball Archive Rule Sheet: WWF Royal Rumble,WWF Royal Rumble Pinball Tutorial
X-Men LE,Stern,2012,VPW,,X-Men LE (Stern 2012) VPW Mod - VPX - Pinball Tables,1kZjR9vx_G,28/06/2023,PinStratsDan,Full,,,28/07/2025,xmen-version-11-rules,X-Men LE Pinball Tutorial: Unleash Your Inner Mutant (Stern 2012)
Xenon,Bally,1980,Hauntfreaks,,Xenon (Bally 1980) - VPX - Pinball Tables,YSu2m-x3,25/06/2024,Bietekwiet,Full,,,,Xenon - Pinball Rules,Jeff's Xenon Pinball Rules and Strategies